ER_335,Real Isolate ID,Project,Freezer Location,Shelf Number,Box Name,No. glycerol stocks,SILVA classification,Isolation Conditions,Source,Date Isolated,Isolated by; PI,Genome Sequence
1,MBR-5,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Constrictibacter,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
2,MBR-6,,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Roseovarius,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
3,MBR-8,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Marinobacter,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
4,MBR-9,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Marinobacter,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
5,MBR-10,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Marinobacter,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
6,MBR-11,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Marinobacter,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
7,MBR-12,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Paraliobacillus,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
8,MBR-13,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Iodidimonas,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
9,MBR-14,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,5.0,Iodidimonas,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
10,MBR-15,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Pseudoalteromonas,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
11,MBR-16,LDRD- Produced Water Reuse,So-Low Freezer (070A-2235),2.0,MBR + PW Isolates,2.0,Roseovarius,"Marine Agar, 30 C","MBR sludge -Day 118, TDS 29g/L",2019-09-20,Shwetha Acharya; Romy C./Susannah T.,
