real_isolate_id,project,source,date_isolated,genome_sequence
A-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
A-G2-11,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-12,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-13,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-14,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-17,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
A-G2-7,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
A-G2-9,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
ARR-50CM-CHI-1,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CHI-2,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CHI-3,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CHI-5,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CHI-6,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CHI-7,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CW-2,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CW-3,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CW-4,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CW-5,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-CW-6,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-11,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-15,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-16,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-17,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-2,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-20,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-21,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-22,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS-7,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS24,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS25,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS26,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS27,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-DNAS28,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-MIX-1,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-MIX-2,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-MIX-3,MCAFEs,Angelo Soil ,2021-03-01,
ARR-50CM-MIX-4,MCAFEs,Angelo Soil ,2021-03-01,
